TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,Purpose,OutOfPolicy,EntitiyCode,EmployeeNumber,BusinessUnit,HotelNights,NetCosts,Transportation_CO2e,Hotel_CO2e,Spend_CO2e
23,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,10000,M1000-M5192,Legal,5,2852.0,4725.91,66.0,2557.5642
24,BR,São Paulo,AR,Buenos Aires,Conference/Exhibition,No,9000,M1000-M5193,Operations,1,1869.0,753.6458,56.0,1140.7462
25,US,New York,CA,Toronto,Customer Visit,No,7000,M1000-M5213,Executive Management,2,958.0,165.7328,14.8,346.0248
26,BR,São Paulo,PT,Lisbon,Customer Visit,No,9000,M1000-M5230,Sales,3,2830.0,2247.889,57.0,1498.1845
27,CN,Beijing,RU,Moscow,Customer Visit,No,9000,M1000-M5233,Marketing,1,1055.0,1641.749,24.2,1348.8577
28,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,8000,M1000-M5233,Executive Management,2,2365.0,3416.9176,32.2,2164.5177
29,BR,São Paulo,ZA,Johannesburg,Customer Visit,No,7000,M1000-M5236,Ecosystem,6,2246.0,2107.427,308.4,1050.3901
30,AU,Sydney,CN,Beijing,Conference/Exhibition,No,8000,M1000-M5261,Customer Support,2,1446.0,2539.644,107.0,1368.1385
31,BR,São Paulo,US,Miami,Partner Visit,No,10000,M1000-M5274,Office Management,3,12096.0,7448.9104,48.3,7358.7102
32,CN,Beijing,RU,Moscow,Conference/Exhibition,No,8000,M1000-M5277,Marketing,2,1266.0,1641.749,48.4,1435.8808
33,BR,São Paulo,PT,Lisbon,Enablement,No,9000,M1000-M5278,Customer Support,3,2283.0,2247.889,57.0,1124.1367
34,BR,São Paulo,US,Miami,Customer Visit,No,8000,M1000-M5287,Sales,2,2019.0,1862.2934,32.2,922.1641
35,CN,Beijing,GB,London,Customer Visit,No,7000,M1000-M5292,Sales,1,7869.0,8047.0884,10.4,10946.053199999998
36,US,New York,CA,Toronto,Enablement,No,9000,M1000-M5307,Legal,4,1131.36,357.0808,29.6,9.7154
37,DE,Berlin,FR,Paris,Conference/Exhibition,No,9000,M1000-M5318,Executive Management,2,831.0,261.7012,13.4,86.8305
38,CN,Beijing,GB,London,Customer Visit,No,10000,M1000-M5322,Sales,3,2885.0,3458.6542,31.2,2948.3999
39,BR,São Paulo,AR,Buenos Aires,Conference/Exhibition,Yes,6000,M1000-M5327,Sales,3,1928.0,753.6458,168.0,1015.1778
40,BR,São Paulo,PT,Lisbon,Customer Visit,No,6000,M1000-M5342,Sales,3,2372.0,2247.889,57.0,1155.3627
41,CN,Beijing,RU,Moscow,Customer Visit,No,6000,M1000-M5372,Marketing,3,1446.0,1641.749,72.6,1556.2628
42,AU,Sydney,DE,Frankfurt,Customer Visit,No,6000,M1000-M5382,Customer Support,2,2193.0,4695.2446,26.4,2194.9558
43,ZA,Cape Town,ZA,Johannesburg,Conference/Exhibition,No,7000,M1000-M5396,Marketing,6,871.0,376.8716,308.4,211.526
44,BR,São Paulo,US,Miami,Conference/Exhibition,No,8000,M1000-M5398,Office Management,3,2385.0,1862.2934,48.3,962.6915
45,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,9000,M1000-M5418,Sales,4,10915.0,9908.699,64.4,11522.8735
46,DE,Hamburg,FR,Paris,Conference/Exhibition,No,7000,M1000-M5418,Customer Support,4,2173.0,338.0572,26.8,347.3222
47,BR,São Paulo,US,Miami,Customer Visit,No,8000,M1000-M5423,Marketing,5,3030.0,1862.2934,80.5,960.6983
48,CN,Beijing,IN,New Delhi,Internal Business Trip,No,6000,M1000-M5428,Marketing,6,1516.0,1079.4338,353.4,1198.0177
49,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,9000,M1000-M5429,Marketing,1,2273.0,3416.9176,16.1,2344.694
50,US,New York,MX,Mexico City,Conference/Exhibition,No,7000,M1000-M5448,Sales,6,2357.0,1486.5916,115.8,1146.8477
51,AU,Sydney,AU,Perth,Conference/Exhibition,No,7000,M1000-M5455,Executive Management,6,1348.0,971.6856,210.0,508.0971
52,DE,Berlin,ES,Madrid,Customer Visit,No,10000,M1000-M5463,Marketing,1,442.0,548.794,7.0,129.9693
53,US,New York,CA,Toronto,Conference/Exhibition,No,8000,M1000-M5465,Finance,3,1175.0,165.7328,22.2,311.3435
54,CN,Beijing,IN,New Delhi,Enablement,No,7000,M1000-M5484,Office Management,5,1482.0,1079.4338,294.5,1250.2316
55,BR,São Paulo,JP,Tokyo,Customer Visit,No,9000,M1000-M5516,Sales,2,3936.0,5275.4614,78.0,2338.5705
56,US,New York,CA,Toronto,Conference/Exhibition,No,8000,M1000-M5518,Ecosystem,2,649.58,202.5958,14.8,17.0073
57,AU,Sydney,SG,Singapore,Customer Visit,No,8000,M1000-M5527,Office Management,2,1516.0,1782.9322,49.0,1106.2823
58,DE,Berlin,IT,Rome,Conference/Exhibition,Yes,7000,M1000-M5530,Customer Support,3,1024.0,349.1932,42.9,91.8081
59,CN,Beijing,IN,New Delhi,Customer Visit,Yes,6000,M1000-M5549,Sales,4,2882.0,3130.2438,235.6,3534.5875
60,BR,São Paulo,AR,Buenos Aires,Customer Visit,No,7000,M1001-M5002,Sales,6,1463.0,502.4644,336.0,453.1095
61,US,New York,MX,Mexico City,Conference/Exhibition,Yes,6000,M1001-M5003,Sales,1,699.0,991.128,19.3,419.3285
62,DE,Berlin,GB,London,Customer Visit,Yes,8000,M1001-M5003,Sales,6,2357.0,427.4834,62.4,234.4978
63,AU,Sydney,SG,Singapore,Conference/Exhibition,No,7000,M1001-M5003,Services,4,6238.0,5170.3148,98.0,6032.3018
64,AU,Sydney,DE,Frankfurt,Customer Visit,No,7000,M1001-M5012,Sales,2,2154.0,4695.2446,26.4,2154.0121
65,AU,Sydney,SG,Singapore,Conference/Exhibition,No,7000,M1001-M5026,Customer Support,3,1745.0,1782.9322,73.5,986.1648
66,DE,Berlin,NL,Amsterdam,Conference/Exhibition,Yes,8000,M1001-M5028,Marketing,2,682.0,54.8668,29.6,15.5851
67,BR,São Paulo,ZA,Johannesburg,Customer Visit,No,6000,M1001-M5029,Operations,3,2065.0,2107.427,154.2,1132.1093
68,DE,Berlin,FR,Paris,Conference/Exhibition,No,10000,M1001-M5037,Sales,4,1931.0,392.5254,26.8,294.2283
69,DE,Berlin,GB,London,Customer Visit,Yes,6000,M1001-M5046,Value Engineering,5,1958.0,427.4834,52.0,270.9998
70,DE,Berlin,ES,Madrid,Customer Visit,No,10000,M1001-M5051,Marketing,2,688.0,548.794,14.0,129.4162
71,US,New York,CA,Toronto,Customer Visit,Yes,9000,M1001-M5056,Customer Support,2,621.81,357.0808,14.8,9.8266
72,AU,Sydney,AU,Melbourne,Conference/Exhibition,No,9000,M1001-M5063,Value Engineering,1,385.0,209.077,35.0,243.8386
73,BR,São Paulo,ZA,Johannesburg,Conference/Exhibition,No,8000,M1001-M5067,Engineering,4,1897.0,2107.427,205.6,921.4997
74,AU,Sydney,AU,Melbourne,Conference/Exhibition,Yes,7000,M1001-M5074,Sales,3,671.0,209.077,105.0,175.3716
75,AU,Sydney,US,Los Angeles,Conference/Exhibition,Yes,7000,M1001-M5078,Sales,4,8654.0,9908.699,64.4,9037.6421
76,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,10000,M1001-M5085,Customer Support,1,2486.0,4794.4396,13.2,3472.2887
77,ZA,Cape Town,ZA,Johannesburg,Internal Business Trip,No,9000,M1001-M5087,Ecosystem,2,366.0,376.8716,102.8,228.0515
78,US,New York,DE,Berlin,Internal Business Trip,No,10000,M1001-M5096,Sales,2,1755.0,1985.8536,26.4,1054.4928
79,ZA,Cape Town,ZA,Johannesburg,Partner Visit,No,10000,M1001-M5097,Sales,3,534.0,376.8716,154.2,285.8907
80,BR,São Paulo,AR,Buenos Aires,Conference/Exhibition,No,8000,M1001-M5103,Sales,2,983.0,502.4644,112.0,455.1026
81,DE,Berlin,ES,Madrid,Conference/Exhibition,Yes,9000,M1001-M5112,Marketing,4,1160.0,548.794,28.0,116.1428
82,AU,Sydney,SG,Singapore,Customer Visit,No,8000,M1001-M5119,Sales,2,1418.0,1782.9322,49.0,995.7742
83,ZA,Cape Town,ZA,Johannesburg,Conference/Exhibition,Yes,9000,M1001-M5131,Sales,5,800.0,376.8716,257.0,277.6279
84,BR,São Paulo,ZA,Johannesburg,Conference/Exhibition,No,7000,M1001-M5133,Customer Support,6,2178.0,2107.427,308.4,1004.5477
85,AU,Sydney,CN,Beijing,Customer Visit,No,6000,M1001-M5139,Sales,4,1791.0,2554.4790000000003,214.0,1571.9752
86,MX,Mexico City,US,Miami,Customer Visit,No,10000,M1001-M5146,Marketing,5,2008.0,608.0284,80.5,422.8067
87,DE,Berlin,IT,Rome,Conference/Exhibition,No,6000,M1001-M5148,Sales,3,1466.0,523.7544,42.9,321.8814
88,CN,Beijing,RU,Moscow,Internal Business Trip,No,10000,M1001-M5154,Executive Management,3,5126.0,4760.8986,72.6,6890.7776
89,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,10000,M1001-M5156,Customer Support,2,10059.0,13704.6388,26.4,12935.9123
90,US,New York,CA,Toronto,Conference/Exhibition,No,8000,M1001-M5157,Operations,3,936.69,202.5958,22.2,17.628
91,CN,Beijing,IN,New Delhi,Enablement,Yes,6000,M1001-M5165,Sales,5,3818.0,3130.2438,294.5,4728.254
92,AU,Sydney,SG,Singapore,Conference/Exhibition,No,10000,M1001-M5170,Executive Management,1,1194.0,1782.9322,24.5,1059.4365
93,BR,São Paulo,US,Miami,Enablement,No,8000,M1001-M5178,Customer Support,5,2785.0,1862.2934,80.5,785.3011
94,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,9000,M1001-M5187,Sales,5,2995.0,4725.91,66.0,2941.936
95,AU,Sydney,CN,Beijing,Conference/Exhibition,No,10000,M1001-M5195,Marketing,2,1727.0,2554.4790000000003,107.0,1799.0871
96,AU,Sydney,AU,Brisbane,Customer Visit,No,8000,M1001-M5205,Marketing,1,378.0,223.2116,35.0,243.8386
97,MX,Mexico City,US,Miami,Enablement,No,7000,M1001-M5206,Sales,6,3231.0,911.981,96.6,1088.2605
98,AU,Sydney,SG,Singapore,Customer Visit,No,10000,M1001-M5214,Sales,3,1610.0,1782.9322,73.5,941.7213
99,DE,Berlin,NL,Amsterdam,Internal Business Trip,Yes,7000,M1001-M5221,Sales,2,663.0,175.9086,29.6,101.2101
100,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,8000,M1001-M5224,Sales,4,3050.0,4695.2446,52.8,2762.2901
101,DE,Berlin,ES,Madrid,Conference/Exhibition,No,7000,M1001-M5224,Services,3,960.0,548.794,21.0,118.355
102,CN,Beijing,RU,Moscow,Internal Business Trip,No,10000,M1001-M5227,Sales,4,1575.0,1641.749,96.8,1524.3543
103,AU,Sydney,CN,Beijing,Enablement,No,6000,M1001-M5231,Services,4,2122.0,2554.4790000000003,214.0,1950.6795
104,US,New York,CA,Toronto,Conference/Exhibition,Yes,8000,M1001-M5234,Services,3,1641.0,248.5826,22.2,657.3684
105,AU,Sydney,AU,Melbourne,Customer Visit,No,7000,M1001-M5249,Marketing,5,1151.0,209.077,175.0,209.0045
106,AU,Sydney,SG,Singapore,Customer Visit,No,6000,M1001-M5259,Marketing,2,4219.0,5170.3148,49.0,4315.8224
107,DE,Berlin,ES,Madrid,Conference/Exhibition,No,6000,M1001-M5276,Sales,2,674.0,548.794,14.0,121.1203
108,US,New York,CA,Toronto,Conference/Exhibition,No,9000,M1001-M5277,Marketing,2,1402.0,248.5826,14.8,734.6131
109,CN,Beijing,RU,Moscow,Conference/Exhibition,No,9000,M1001-M5282,Operations,5,1437.0,1641.749,121.0,1244.4301
110,AU,Sydney,SG,Singapore,Conference/Exhibition,No,9000,M1001-M5282,Marketing,3,1729.0,1782.9322,73.5,909.2896
111,US,New York,CA,Toronto,Customer Visit,Yes,8000,M1001-M5289,Sales,1,1279.0,248.5826,7.4,815.7989
112,US,New York,CA,Toronto,Conference/Exhibition,No,9000,M1001-M5290,Customer Support,3,1562.0,248.5826,22.2,684.1675
113,CN,Beijing,RU,Moscow,Enablement,No,6000,M1001-M5291,Value Engineering,2,1412.0,1641.749,48.4,1696.9501
114,BR,São Paulo,US,Miami,Partner Visit,No,7000,M1001-M5291,Sales,5,2988.0,1862.2934,80.5,891.6025
115,DE,Berlin,ES,Madrid,Partner Visit,Yes,10000,M1001-M5292,Sales,3,1208.0,823.1354,21.0,311.3732
116,US,New York,CA,Toronto,Customer Visit,Yes,8000,M1001-M5307,Customer Support,2,1563.0,248.5826,14.8,816.5871
117,BR,São Paulo,US,Miami,Customer Visit,No,8000,M1001-M5332,Sales,3,2074.0,1862.2934,48.3,698.9313
118,AU,Sydney,SG,Singapore,Conference/Exhibition,No,10000,M1001-M5334,Customer Support,5,2631.0,1782.9322,122.5,1279.2516
119,US,New York,MX,Mexico City,Customer Visit,No,6000,M1001-M5335,Marketing,3,1075.0,991.128,57.9,469.774
120,US,New York,MX,Mexico City,Customer Visit,No,6000,M1001-M5337,Sales,4,2556.0,1486.5916,77.2,1491.2961
121,DE,Berlin,ES,Madrid,Customer Visit,No,10000,M1001-M5342,Marketing,4,1118.0,548.794,28.0,101.2101
122,BR,São Paulo,ZA,Johannesburg,Customer Visit,No,10000,M1001-M5348,Ecosystem,1,1714.0,2107.427,51.4,1057.0339
123,DE,Hamburg,FR,Paris,Customer Visit,No,7000,M1001-M5349,Customer Support,3,1083.54,384.5554,20.1,6.9697
124,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,6000,M1001-M5364,Product Management,1,2538.0,3416.9176,16.1,2682.2242
125,DE,Berlin,GB,London,Internal Business Trip,Yes,6000,M1001-M5364,Operations,5,1615.0,285.008,52.0,79.6408
126,BR,São Paulo,US,Miami,Conference/Exhibition,No,8000,M1001-M5369,Sales,5,2904.0,1862.2934,80.5,854.397
127,AU,Sydney,AU,Brisbane,Customer Visit,No,6000,M1001-M5374,Executive Management,1,364.0,223.2116,35.0,239.0339
128,AU,Sydney,AU,Perth,Conference/Exhibition,No,9000,M1001-M5374,Value Engineering,1,618.0,971.6856,35.0,559.7476
129,CN,Beijing,GB,London,Conference/Exhibition,No,6000,M1001-M5377,Sales,5,3062.0,2929.0386000000003,52.0,2277.1040000000003
130,CN,Beijing,RU,Moscow,Customer Visit,No,9000,M1001-M5380,Sales,1,937.0,1641.749,24.2,1173.3612
131,DE,Hamburg,FR,Paris,Conference/Exhibition,No,7000,M1001-M5380,Sales,5,1949.0,225.3868,33.5,137.7121
132,US,New York,CA,Toronto,Customer Visit,Yes,6000,M1001-M5384,Sales,1,445.39,202.5958,7.4,18.2965
133,DE,Berlin,GB,London,Customer Visit,No,6000,M1001-M5384,Sales,2,1036.0,427.4834,20.8,208.5039
134,AU,Sydney,SG,Singapore,Conference/Exhibition,No,9000,M1001-M5388,Legal,5,2373.0,1782.9322,122.5,1103.88
135,AU,Sydney,US,Los Angeles,Customer Visit,No,8000,M1001-M5394,Ecosystem,4,2866.0,3416.9176,64.4,1925.4838
136,AU,Sydney,DE,Frankfurt,Customer Visit,No,7000,M1001-M5401,Sales,3,2413.0,4883.3882,39.6,2328.5818
137,BR,São Paulo,ZA,Johannesburg,Internal Business Trip,No,9000,M1001-M5402,Executive Management,2,2005.0,2107.427,102.8,1159.349
138,US,New York,DE,Berlin,Internal Business Trip,No,8000,M1001-M5404,Sales,2,6565.0,5266.0844,26.4,4888.4875
139,AU,Sydney,CN,Beijing,Conference/Exhibition,No,7000,M1001-M5405,Customer Support,2,5034.0,7364.6988,107.0,5670.748
140,AU,Sydney,DE,Frankfurt,Customer Visit,No,8000,M1001-M5407,Sales,1,2077.0,4883.3882,13.2,2298.409
141,US,New York,MX,Mexico City,Conference/Exhibition,No,10000,M1001-M5412,Executive Management,1,775.0,991.128,19.3,483.1736
142,ZA,Cape Town,ZA,Johannesburg,Internal Business Trip,No,8000,M1001-M5426,Office Management,3,508.0,376.8716,154.2,251.1872
143,CN,Beijing,GB,London,Customer Visit,No,7000,M1001-M5444,Sales,5,3562.0,2929.0386000000003,52.0,2610.6924
144,AU,Sydney,SG,Singapore,Customer Visit,Yes,8000,M1001-M5445,Value Engineering,2,4687.0,5170.3148,49.0,4898.3924
145,MX,Mexico City,US,Miami,Conference/Exhibition,No,6000,M1001-M5446,Marketing,3,2503.0,911.981,48.3,1246.5087
146,DE,Berlin,FR,Paris,Conference/Exhibition,No,8000,M1001-M5465,Services,5,2003.16,450.7452,33.5,7.66
147,CN,Beijing,IN,New Delhi,Internal Business Trip,No,7000,M1001-M5468,Sales,3,1193.0,1079.4338,176.7,1225.5751
148,BR,São Paulo,US,Miami,Internal Business Trip,No,8000,M1001-M5468,Executive Management,2,1824.0,1862.2934,32.2,779.3217
149,CN,Beijing,RU,Moscow,Internal Business Trip,No,8000,M1001-M5469,Sales,3,1547.0,1641.749,72.6,1702.7516
150,CN,Beijing,IN,New Delhi,Conference/Exhibition,No,7000,M1001-M5469,Office Management,2,944.0,1079.4338,117.8,1054.4297
151,AU,Sydney,CN,Beijing,Conference/Exhibition,Yes,7000,M1001-M5470,Marketing,3,5054.0,7364.6988,160.5,5502.5835
152,US,New York,MX,Mexico City,Conference/Exhibition,Yes,8000,M1001-M5488,Sales,6,2705.0,1486.5916,115.8,1305.2782
153,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,6000,M1001-M5489,Marketing,3,11992.0,13615.7122,39.6,13838.6521
154,BR,São Paulo,PT,Lisbon,Customer Visit,No,6000,M1001-M5505,Marketing,2,2501.0,2247.889,38.0,1387.8969
155,ES,Madrid,PT,Lisbon,Customer Visit,No,7000,M1001-M5507,Product Management,1,327.0,152.07,19.0,146.1472
156,MX,Mexico City,US,Miami,Customer Visit,No,6000,M1001-M5527,Marketing,3,2510.0,911.981,48.3,1221.3513
157,AU,Sydney,DE,Frankfurt,Partner Visit,No,7000,M1001-M5527,Value Engineering,3,2512.0,4695.2446,39.6,2426.868
158,AU,Sydney,AU,Melbourne,Customer Visit,No,10000,M1001-M5533,Sales,5,1154.0,209.077,175.0,240.235
159,AU,Sydney,US,Los Angeles,Customer Visit,No,10000,M1001-M5533,Value Engineering,4,3319.0,3416.9176,64.4,2429.9774
160,BR,São Paulo,ZA,Johannesburg,Internal Business Trip,No,9000,M1001-M5546,Marketing,4,2021.0,2107.427,205.6,1009.1983
161,US,New York,CA,Toronto,Conference/Exhibition,Yes,6000,M1001-M5551,Sales,4,1745.0,248.5826,29.6,660.5212
162,AU,Sydney,US,Los Angeles,Customer Visit,No,9000,M1001-M5555,Operations,1,10224.0,9908.699,16.1,11877.2202
163,CN,Beijing,GB,London,Customer Visit,No,8000,M1002-M5008,Sales,3,2674.0,3458.6542,31.2,2718.327
164,CN,Beijing,US,New York,Conference/Exhibition,No,10000,M1002-M5011,Value Engineering,1,8419.0,9010.549,16.1,11700.2532
165,AU,Sydney,AU,Melbourne,Conference/Exhibition,No,7000,M1002-M5020,Sales,3,714.0,209.077,105.0,183.7798
166,DE,Berlin,GB,London,Partner Visit,No,6000,M1002-M5023,Sales,1,814.0,427.4834,10.4,275.4243
167,AU,Sydney,DE,Frankfurt,Conference/Exhibition,Yes,6000,M1002-M5024,Marketing,2,8864.0,13615.7122,26.4,10213.5615
168,BR,São Paulo,US,Miami,Customer Visit,No,10000,M1002-M5025,Services,4,6783.0,5400.4536,64.4,3592.3209
169,AU,Sydney,SG,Singapore,Conference/Exhibition,No,7000,M1002-M5034,Customer Support,3,1902.0,1782.9322,73.5,1243.2163
170,BR,São Paulo,JP,Tokyo,Customer Visit,No,10000,M1002-M5036,Ecosystem,3,3786.0,5275.4614,117.0,1954.0686
171,CN,Beijing,AU,Sydney,Conference/Exhibition,No,6000,M1002-M5038,Executive Management,1,6881.0,7364.6988,35.0,9668.2643
172,AU,Sydney,DE,Frankfurt,Customer Visit,Yes,6000,M1002-M5040,Marketing,2,29933.0,18902.9732,26.4,38584.0753
173,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,6000,M1002-M5041,Customer Support,5,9192.0,9908.699,80.5,9270.6701
174,CN,Beijing,IN,New Delhi,Enablement,No,7000,M1002-M5046,Sales,3,1068.0,1079.4338,176.7,981.9104
175,BR,São Paulo,JP,Tokyo,Internal Business Trip,No,8000,M1002-M5051,Sales,2,3423.0,5697.7666,78.0,3498.6061
176,DE,Berlin,FR,Paris,Customer Visit,No,6000,M1002-M5051,Operations,3,1996.0,392.5254,20.1,554.72
177,AU,Sydney,US,Los Angeles,Conference/Exhibition,No,6000,M1002-M5052,Services,4,2837.0,3416.9176,64.4,1937.4956
178,DE,Berlin,ES,Madrid,Conference/Exhibition,No,6000,M1002-M5055,Operations,1,474.0,548.794,7.0,122.2264
179,CN,Beijing,RU,Moscow,Partner Visit,No,6000,M1002-M5055,Marketing,2,5014.0,4760.8986,48.4,6877.7241
180,DE,Berlin,FR,Paris,Internal Business Trip,No,6000,M1002-M5055,Operations,3,1222.08,219.3304,20.1,5.8769
181,CN,Beijing,AU,Sydney,Customer Visit,Yes,10000,M1002-M5056,Office Management,6,6728.0,7364.6988,210.0,7656.5807
182,CN,Beijing,IN,New Delhi,Customer Visit,No,7000,M1002-M5063,Legal,5,4012.0,3130.2438,294.5,4880.5444
183,MX,Mexico City,US,Miami,Customer Visit,No,10000,M1002-M5076,Sales,5,3038.0,911.981,80.5,1145.8791
184,AU,Sydney,DE,Frankfurt,Customer Visit,No,8000,M1002-M5079,Sales,1,2011.0,4883.3882,13.2,2209.1728000000003
185,BR,São Paulo,US,Miami,Customer Visit,No,7000,M1002-M5084,Sales,3,2547.0,1862.2934,48.3,1011.1915
186,BR,São Paulo,ZA,Johannesburg,Conference/Exhibition,No,10000,M1002-M5085,Sales,2,1780.0,2107.427,102.8,1019.1641
187,AU,Sydney,NZ,Auckland,Conference/Exhibition,No,8000,M1002-M5087,Operations,2,862.0,640.171,20.8,618.6052
188,MX,Mexico City,US,Miami,Customer Visit,No,8000,M1002-M5092,Sales,3,1331.0,608.0284,48.3,355.4497
189,AU,Sydney,SG,Singapore,Enablement,Yes,6000,M1002-M5095,Legal,4,2218.0,1782.9322,98.0,1151.927
190,CN,Beijing,IN,New Delhi,Conference/Exhibition,Yes,9000,M1002-M5096,Sales,2,3776.0,3130.2438,117.8,5144.5144
191,DE,Berlin,FR,Paris,Conference/Exhibition,No,9000,M1002-M5096,Marketing,3,1342.0,261.7012,20.1,85.7244
192,AU,Sydney,US,Los Angeles,Enablement,No,7000,M1002-M5104,Sales,3,3105.0,3416.9176,48.3,2670.2124
193,AU,Sydney,DE,Frankfurt,Conference/Exhibition,No,10000,M1002-M5111,Ecosystem,4,9719.0,13615.7122,52.8,10918.6881
194,AU,Sydney,AU,Perth,Internal Business Trip,No,8000,M1002-M5112,Sales,3,2843.0,1457.43,105.0,2784.3241
195,MX,Mexico City,US,Miami,Enablement,No,10000,M1002-M5117,Marketing,3,1276.0,608.0284,48.3,301.0773
196,US,New York,CA,Toronto,Enablement,No,9000,M1002-M5122,Operations,1,313.01,357.0808,7.4,8.8691
197,BR,São Paulo,ZA,Johannesburg,Customer Visit,No,10000,M1002-M5125,Ecosystem,1,1669.0,2107.427,51.4,1028.4655
198,AU,Sydney,DE,Frankfurt,Customer Visit,No,9000,M1002-M5131,Office Management,3,2869.0,4695.2446,39.6,2781.4189
199,US,New York,MX,Mexico City,Customer Visit,Yes,10000,M1002-M5135,Marketing,3,2450.0,1486.5916,57.9,1571.6937
200,AU,Sydney,AU,Perth,Internal Business Trip,No,10000,M1002-M5140,Sales,2,877.0,971.6856,70.0,673.8593
201,US,New York,MX,Mexico City,Internal Business Trip,No,7000,M1002-M5142,Services,2,934.0,991.128,38.6,466.6212
202,AU,Sydney,DE,Frankfurt,Customer Visit,No,9000,M1002-M5143,Legal,3,2398.0,4883.3882,39.6,2194.7622
203,BR,São Paulo,AR,Buenos Aires,Customer Visit,No,7000,M1002-M5144,Sales,2,1074.0,502.4644,112.0,526.1916
204,BR,São Paulo,ZA,Johannesburg,Customer Visit,No,10000,M1002-M5145,Customer Support,2,2011.0,2107.427,102.8,1189.2462
205,BR,São Paulo,PT,Lisbon,Enablement,No,6000,M1002-M5151,Value Engineering,5,2618.0,2247.889,95.0,1127.4586
206,CN,Beijing,IN,New Delhi,Customer Visit,No,8000,M1002-M5158,Sales,4,1304.0,1079.4338,235.6,1232.827
207,CN,Beijing,IN,New Delhi,Conference/Exhibition,No,8000,M1002-M5160,Sales,2,1098.0,1079.4338,117.8,1270.537
