TransportationID,TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,LegStep,TripCosts,Departure_CO2e,Return_CO2e
BC000026,97,MX,Mexico City,US,Miami,12,Business Class Flight,1,1341.0,455.9905,455.9905
EF000082,98,AU,Sydney,SG,Singapore,10,Economy Flight,1,784.0,891.4661,891.4661
EF000083,99,DE,Berlin,NL,Amsterdam,10,Economy Flight,1,183.0,87.9543,87.9543
EF000084,100,AU,Sydney,SG,Singapore,10,Economy Flight,1,993.0,891.4661,891.4661
EF000085,100,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,1305.0,1456.1562,1456.1562
EF000086,101,DE,Berlin,ES,Madrid,10,Economy Flight,1,214.0,274.397,274.397
EF000087,102,CN,Beijing,RU,Moscow,10,Economy Flight,1,1051.0,820.8745,820.8745
EF000088,103,AU,Sydney,CN,Shanghai,10,Economy Flight,1,1240.0,1117.6628,1117.6628
EF000089,103,CN,Shanghai,CN,Beijing,10,Economy Flight,2,318.0,159.5767,159.5767
BC000027,104,US,New York,CA,Toronto,12,Business Class Flight,1,834.0,124.2913,124.2913
EF000090,105,AU,Sydney,AU,Melbourne,10,Economy Flight,1,174.0,104.5385,104.5385
BC000028,106,AU,Sydney,SG,Singapore,12,Business Class Flight,1,3593.0,2585.1574,2585.1574
EF000091,107,DE,Berlin,ES,Madrid,10,Economy Flight,1,219.0,274.397,274.397
BC000029,108,US,New York,CA,Toronto,12,Business Class Flight,1,932.0,124.2913,124.2913
EF000092,109,CN,Beijing,RU,Moscow,10,Economy Flight,1,858.0,820.8745,820.8745
EF000093,110,AU,Sydney,SG,Singapore,10,Economy Flight,1,757.0,891.4661,891.4661
BC000030,111,US,New York,CA,Toronto,12,Business Class Flight,1,1035.0,124.2913,124.2913
BC000031,112,US,New York,CA,Toronto,12,Business Class Flight,1,868.0,124.2913,124.2913
EF000094,113,CN,Beijing,RU,Moscow,10,Economy Flight,1,1170.0,820.8745,820.8745
EF000095,114,BR,São Paulo,US,Miami,10,Economy Flight,1,1342.0,931.1467,931.1467
BC000032,115,DE,Berlin,ES,Madrid,12,Business Class Flight,1,563.0,411.5677,411.5677
BC000033,116,US,New York,CA,Toronto,12,Business Class Flight,1,1036.0,124.2913,124.2913
EF000096,117,BR,São Paulo,US,Miami,10,Economy Flight,1,1052.0,931.1467,931.1467
EF000097,118,AU,Sydney,SG,Singapore,10,Economy Flight,1,1065.0,891.4661,891.4661
EF000098,119,US,New York,MX,Mexico City,10,Economy Flight,1,596.0,495.564,495.564
BC000034,120,US,New York,MX,Mexico City,12,Business Class Flight,1,1892.0,743.2958,743.2958
EF000099,121,DE,Berlin,ES,Madrid,10,Economy Flight,1,183.0,274.397,274.397
EF000100,122,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1591.0,1053.7135,1053.7135
CA000005,123,DE,Hamburg,FR,Paris,14,Volkswagen Golf diesel,1,80.17,192.2777,192.2777
EF000101,124,AU,Sydney,US,Los Angeles,10,Economy Flight,1,2233.0,1708.4588,1708.4588
EF000102,125,DE,Berlin,GB,London,10,Economy Flight,1,144.0,142.504,142.504
EF000103,126,BR,São Paulo,US,Miami,10,Economy Flight,1,1286.0,931.1467,931.1467
EF000104,127,AU,Sydney,AU,Brisbane,10,Economy Flight,1,199.0,111.6058,111.6058
EF000105,128,AU,Sydney,AU,Perth,10,Economy Flight,1,466.0,485.8428,485.8428
EF000106,129,CN,Beijing,CN,Shanghai,10,Economy Flight,1,302.0,159.5767,159.5767
EF000107,129,CN,Shanghai,GB,London,10,Economy Flight,2,1268.0,1304.9426,1304.9426
EF000108,130,CN,Beijing,RU,Moscow,10,Economy Flight,1,809.0,820.8745,820.8745
EF000109,131,DE,Hamburg,FR,Paris,10,Economy Flight,1,249.0,112.6934,112.6934
CA000006,132,US,New York,CA,Toronto,16,BMW 3 plugin hybrid,1,175.99,101.2979,101.2979
BC000035,133,DE,Berlin,GB,London,12,Business Class Flight,1,377.0,213.7417,213.7417
EF000110,134,AU,Sydney,SG,Singapore,10,Economy Flight,1,919.0,891.4661,891.4661
EF000111,135,AU,Sydney,US,Los Angeles,10,Economy Flight,1,1603.0,1708.4588,1708.4588
EF000112,136,AU,Sydney,SG,Singapore,10,Economy Flight,1,962.0,891.4661,891.4661
EF000113,136,SG,Singapore,GR,Athens,10,Economy Flight,2,548.0,1281.0192,1281.0192
EF000114,136,GR,Athens,DE,Frankfurt,10,Economy Flight,3,436.0,269.2088,269.2088
EF000115,137,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1745.0,1053.7135,1053.7135
BC000036,138,US,New York,DE,Berlin,12,Business Class Flight,1,6202.0,2633.0422,2633.0422
BC000037,139,AU,Sydney,CN,Beijing,12,Business Class Flight,1,4721.0,3682.3494,3682.3494
EF000116,140,AU,Sydney,SG,Singapore,10,Economy Flight,1,1050.0,891.4661,891.4661
EF000117,140,SG,Singapore,GR,Athens,10,Economy Flight,2,535.0,1281.0192,1281.0192
EF000118,140,GR,Athens,DE,Frankfurt,10,Economy Flight,3,334.0,269.2088,269.2088
EF000119,141,US,New York,MX,Mexico City,10,Economy Flight,1,613.0,495.564,495.564
EF000120,142,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,152.0,188.4358,188.4358
EF000121,143,CN,Beijing,CN,Shanghai,10,Economy Flight,1,340.0,159.5767,159.5767
EF000122,143,CN,Shanghai,GB,London,10,Economy Flight,2,1460.0,1304.9426,1304.9426
BC000038,144,AU,Sydney,SG,Singapore,12,Business Class Flight,1,4078.0,2585.1574,2585.1574
BC000039,145,MX,Mexico City,US,Miami,12,Business Class Flight,1,1536.0,455.9905,455.9905
CA000007,146,DE,Berlin,FR,Paris,14,Volkswagen Golf diesel,1,88.11,225.3726,225.3726
EF000123,147,CN,Beijing,IN,New Delhi,10,Economy Flight,1,845.0,539.7169,539.7169
EF000124,148,BR,São Paulo,US,Miami,10,Economy Flight,1,1173.0,931.1467,931.1467
EF000125,149,CN,Beijing,RU,Moscow,10,Economy Flight,1,1174.0,820.8745,820.8745
EF000126,150,CN,Beijing,IN,New Delhi,10,Economy Flight,1,727.0,539.7169,539.7169
BC000040,151,AU,Sydney,CN,Beijing,12,Business Class Flight,1,4581.0,3682.3494,3682.3494
BC000041,152,US,New York,MX,Mexico City,12,Business Class Flight,1,1656.0,743.2958,743.2958
BC000042,153,AU,Sydney,SG,Singapore,12,Business Class Flight,1,5267.0,2585.1574,2585.1574
BC000043,153,SG,Singapore,DE,Frankfurt,12,Business Class Flight,2,6246.0,4222.6987,4222.6987
EF000127,154,BR,São Paulo,PT,Lisbon,10,Economy Flight,1,2089.0,1123.9445,1123.9445
EF000128,155,ES,Madrid,PT,Lisbon,10,Economy Flight,1,139.0,76.035,76.035
BC000044,156,MX,Mexico City,US,Miami,12,Business Class Flight,1,1505.0,455.9905,455.9905
EF000129,157,AU,Sydney,SG,Singapore,10,Economy Flight,1,907.0,891.4661,891.4661
EF000130,157,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,1112.0,1456.1562,1456.1562
EF000131,158,AU,Sydney,AU,Melbourne,10,Economy Flight,1,200.0,104.5385,104.5385
EF000132,159,AU,Sydney,US,Los Angeles,10,Economy Flight,1,2023.0,1708.4588,1708.4588
EF000133,160,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1519.0,1053.7135,1053.7135
BC000045,161,US,New York,CA,Toronto,12,Business Class Flight,1,838.0,124.2913,124.2913
BC000046,162,AU,Sydney,US,Los Angeles,12,Business Class Flight,1,9888.0,4954.3495,4954.3495
EF000134,163,CN,Beijing,AE,Dubai,10,Economy Flight,1,814.0,630.9485,630.9485
EF000135,163,AE,Dubai,GB,London,10,Economy Flight,2,940.0,1098.3786,1098.3786
BC000047,164,CN,Beijing,US,New York,12,Business Class Flight,1,8067.0,4505.2745,4505.2745
EF000136,165,AU,Sydney,AU,Melbourne,10,Economy Flight,1,153.0,104.5385,104.5385
BC000048,166,DE,Berlin,GB,London,12,Business Class Flight,1,498.0,213.7417,213.7417
BC000049,167,AU,Sydney,SG,Singapore,12,Business Class Flight,1,3790.0,2585.1574,2585.1574
BC000050,167,SG,Singapore,DE,Frankfurt,12,Business Class Flight,2,4707.0,4222.6987,4222.6987
BC000051,168,BR,São Paulo,US,Miami,12,Business Class Flight,1,5407.0,2700.2268,2700.2268
EF000137,169,AU,Sydney,SG,Singapore,10,Economy Flight,1,1035.0,891.4661,891.4661
EF000138,170,BR,São Paulo,US,Dallas,10,Economy Flight,1,1406.0,1167.7216,1167.7216
EF000139,170,US,Dallas,JP,Tokyo,10,Economy Flight,2,1294.0,1470.0091,1470.0091
BC000052,171,CN,Beijing,AU,Sydney,12,Business Class Flight,1,6666.0,3682.3494,3682.3494
FC000003,172,AU,Sydney,AE,Dubai,11,First Class Flight,1,22586.0,5418.7177,5418.7177
FC000004,172,AE,Dubai,DE,Frankfurt,11,First Class Flight,2,7002.0,4032.7689,4032.7689
BC000053,173,AU,Sydney,US,Los Angeles,12,Business Class Flight,1,7718.0,4954.3495,4954.3495
EF000140,174,CN,Beijing,IN,New Delhi,10,Economy Flight,1,677.0,539.7169,539.7169
EF000141,175,BR,São Paulo,QA,Doha,10,Economy Flight,1,1695.0,1679.6397,1679.6397
EF000142,175,QA,Doha,JP,Tokyo,10,Economy Flight,2,1109.0,1169.2436,1169.2436
FC000005,176,DE,Berlin,FR,Paris,11,First Class Flight,1,1003.0,196.2627,196.2627
EF000143,177,AU,Sydney,US,Los Angeles,10,Economy Flight,1,1613.0,1708.4588,1708.4588
EF000144,178,DE,Berlin,ES,Madrid,10,Economy Flight,1,221.0,274.397,274.397
BC000054,179,CN,Beijing,RU,Moscow,12,Business Class Flight,1,4742.0,2380.4493,2380.4493
CA000008,180,DE,Berlin,FR,Paris,17,Fiat 500 electric,1,67.6,109.6652,109.6652
BC000055,181,CN,Beijing,AU,Sydney,12,Business Class Flight,1,5279.0,3682.3494,3682.3494
BC000056,182,CN,Beijing,IN,New Delhi,12,Business Class Flight,1,3365.0,1565.1219,1565.1219
BC000057,183,MX,Mexico City,US,Miami,12,Business Class Flight,1,1412.0,455.9905,455.9905
EF000145,184,AU,Sydney,SG,Singapore,10,Economy Flight,1,986.0,891.4661,891.4661
EF000146,184,SG,Singapore,GR,Athens,10,Economy Flight,2,511.0,1281.0192,1281.0192
EF000147,184,GR,Athens,DE,Frankfurt,10,Economy Flight,3,348.0,269.2088,269.2088
EF000148,185,BR,São Paulo,US,Miami,10,Economy Flight,1,1522.0,931.1467,931.1467
EF000149,186,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1534.0,1053.7135,1053.7135
EF000150,187,AU,Sydney,NZ,Auckland,10,Economy Flight,1,515.0,320.0855,320.0855
EF000151,188,MX,Mexico City,US,Miami,10,Economy Flight,1,438.0,304.0142,304.0142
EF000152,189,AU,Sydney,SG,Singapore,10,Economy Flight,1,959.0,891.4661,891.4661
BC000058,190,CN,Beijing,IN,New Delhi,12,Business Class Flight,1,3547.0,1565.1219,1565.1219
EF000153,191,DE,Berlin,FR,Paris,10,Economy Flight,1,155.0,130.8506,130.8506
EF000154,192,AU,Sydney,US,Los Angeles,10,Economy Flight,1,2223.0,1708.4588,1708.4588
BC000059,193,AU,Sydney,SG,Singapore,12,Business Class Flight,1,3564.0,2585.1574,2585.1574
BC000060,193,SG,Singapore,DE,Frankfurt,12,Business Class Flight,2,5519.0,4222.6987,4222.6987
BC000061,194,AU,Sydney,AU,Perth,12,Business Class Flight,1,2318.0,728.715,728.715
EF000155,195,MX,Mexico City,US,Miami,10,Economy Flight,1,371.0,304.0142,304.0142
CA000009,196,US,New York,CA,Toronto,15,Volkswagen Golf petrol,1,85.31,178.5404,178.5404
EF000156,197,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1548.0,1053.7135,1053.7135
EF000157,198,AU,Sydney,SG,Singapore,10,Economy Flight,1,1068.0,891.4661,891.4661
EF000158,198,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,1246.0,1456.1562,1456.1562
BC000062,199,US,New York,MX,Mexico City,12,Business Class Flight,1,1994.0,743.2958,743.2958
EF000159,200,AU,Sydney,AU,Perth,10,Economy Flight,1,561.0,485.8428,485.8428
EF000160,201,US,New York,MX,Mexico City,10,Economy Flight,1,592.0,495.564,495.564
EF000161,202,AU,Sydney,SG,Singapore,10,Economy Flight,1,1003.0,891.4661,891.4661
EF000162,202,SG,Singapore,GR,Athens,10,Economy Flight,2,484.0,1281.0192,1281.0192
EF000163,202,GR,Athens,DE,Frankfurt,10,Economy Flight,3,346.0,269.2088,269.2088
EF000164,203,BR,São Paulo,AR,Buenos Aires,10,Economy Flight,1,792.0,251.2322,251.2322
EF000165,204,BR,São Paulo,ZA,Johannesburg,10,Economy Flight,1,1790.0,1053.7135,1053.7135
EF000166,205,BR,São Paulo,PT,Lisbon,10,Economy Flight,1,1697.0,1123.9445,1123.9445
EF000167,206,CN,Beijing,IN,New Delhi,10,Economy Flight,1,850.0,539.7169,539.7169
EF000168,207,CN,Beijing,IN,New Delhi,10,Economy Flight,1,876.0,539.7169,539.7169
BC000063,208,BR,São Paulo,ZA,Johannesburg,12,Business Class Flight,1,6653.0,3055.6576,3055.6576
BC000064,209,US,New York,MX,Mexico City,12,Business Class Flight,1,1770.0,743.2958,743.2958
EF000169,210,AU,Sydney,US,Los Angeles,10,Economy Flight,1,1834.0,1708.4588,1708.4588
EF000170,211,BR,São Paulo,US,Miami,10,Economy Flight,1,1235.0,931.1467,931.1467
EF000171,212,AU,Sydney,SG,Singapore,10,Economy Flight,1,873.0,891.4661,891.4661
BC000065,213,US,New York,CA,Toronto,12,Business Class Flight,1,1061.0,124.2913,124.2913
EF000172,214,AU,Sydney,SG,Singapore,10,Economy Flight,1,1032.0,891.4661,891.4661
EF000173,215,AU,Sydney,SG,Singapore,10,Economy Flight,1,883.0,891.4661,891.4661
EF000174,215,SG,Singapore,DE,Frankfurt,10,Economy Flight,2,1079.0,1456.1562,1456.1562
EF000175,216,BR,São Paulo,US,Miami,10,Economy Flight,1,1163.0,931.1467,931.1467
EF000176,217,AU,Sydney,AE,Dubai,10,Economy Flight,1,1757.0,1354.7272,1354.7272
EF000177,217,AE,Dubai,DE,Frankfurt,10,Economy Flight,2,789.0,1008.2278,1008.2278
EF000178,218,AU,Sydney,US,Los Angeles,10,Economy Flight,1,1600.0,1708.4588,1708.4588
EF000179,219,MX,Mexico City,US,Miami,10,Economy Flight,1,364.0,304.0142,304.0142
EF000180,220,DE,Berlin,NL,Amsterdam,10,Economy Flight,1,166.0,87.9543,87.9543
EF000181,221,AU,Sydney,AU,Brisbane,10,Economy Flight,1,189.0,111.6058,111.6058
EF000182,222,CN,Beijing,IN,New Delhi,10,Economy Flight,1,949.0,539.7169,539.7169
EF000183,223,BR,São Paulo,PT,Lisbon,10,Economy Flight,1,1756.0,1123.9445,1123.9445
EF000184,224,AU,Sydney,AU,Brisbane,10,Economy Flight,1,189.0,111.6058,111.6058
EF000185,225,ZA,Cape Town,ZA,Johannesburg,10,Economy Flight,1,187.0,188.4358,188.4358
EF000186,226,CN,Beijing,RU,Moscow,10,Economy Flight,1,866.0,820.8745,820.8745
TR000002,227,DE,Berlin,FR,Paris,4,Train,1,183.0,28.2226,28.2226
TR000003,227,DE,Berlin,FR,Paris,4,Train,2,172.0,28.2226,28.2226
BC000066,228,US,New York,CA,Toronto,12,Business Class Flight,1,846.0,124.2913,124.2913
EF000187,229,CN,Beijing,TR,Istanbul,10,Economy Flight,1,889.0,1000.1025,1000.1025
EF000188,230,DE,Berlin,IT,Rome,10,Economy Flight,1,148.0,174.5966,174.5966
EF000189,231,BR,São Paulo,AR,Buenos Aires,10,Economy Flight,1,609.0,251.2322,251.2322
EF000190,232,DE,Berlin,GB,London,10,Economy Flight,1,115.0,142.504,142.504
EF000191,233,AU,Sydney,AU,Perth,10,Economy Flight,1,518.0,485.8428,485.8428
EF000192,234,DE,Berlin,ES,Madrid,10,Economy Flight,1,236.0,274.397,274.397
EF000193,235,BR,São Paulo,AR,Buenos Aires,10,Economy Flight,1,670.0,251.2322,251.2322
CA000010,236,DE,Berlin,NL,Amsterdam,13,BMW 3 diesel,1,119.17,144.6034,144.6034
